Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;50;125;28.1
gaussian_400_25;50;130;28.0
gaussian_400_25;50;135;27.9
gaussian_400_25;50;140;27.9
gaussian_400_25;50;145;27.8
gaussian_400_25;50;150;27.7
gaussian_400_25;50;155;27.6
gaussian_400_25;50;160;27.5
gaussian_400_25;50;165;27.4
gaussian_400_25;50;170;27.3
gaussian_400_25;50;175;27.2
gaussian_400_25;50;180;27.1
gaussian_400_25;50;185;27.0
gaussian_400_25;50;190;26.9
gaussian_400_25;50;195;26.8
gaussian_400_25;50;200;26.7
gaussian_400_25;50;205;26.6
gaussian_400_25;50;210;26.5
gaussian_400_25;50;215;26.4
gaussian_400_25;50;220;26.3
gaussian_400_25;50;225;26.2
gaussian_400_25;50;230;26.1
gaussian_400_25;50;235;26.0
gaussian_400_25;50;240;25.9
gaussian_400_25;50;245;25.8
gaussian_400_25;50;250;25.7
gaussian_400_25;50;255;25.6
gaussian_400_25;50;260;25.5
gaussian_400_25;50;265;25.4
gaussian_400_25;50;270;25.4
gaussian_400_25;50;275;25.3
gaussian_400_25;50;280;25.2
gaussian_400_25;50;285;25.1
gaussian_400_25;50;290;25.1
gaussian_400_25;50;295;25.1
gaussian_400_25;50;300;25.2
gaussian_400_25;50;305;25.3
gaussian_400_25;50;310;25.6
gaussian_400_25;50;315;25.9
gaussian_400_25;50;320;26.4
gaussian_400_25;50;325;27.1
gaussian_400_25;50;330;27.9
gaussian_400_25;50;335;28.9
gaussian_400_25;50;340;30.0
gaussian_400_25;50;345;31.2
gaussian_400_25;50;350;32.3
gaussian_400_25;50;355;33.4
gaussian_400_25;50;360;34.6
gaussian_400_25;50;365;35.6
